===
Lewis VS. Stein
Battle 1: Lewis (AC) DEFEATED Stein (KH) : Lewis 27, Stein 25
Battle 116: Stein (8C) DEFEATED Lewis (3C) : Lewis 32, Stein 20
Battle 117: Lewis (QD) DEFEATED Stein (3H) : Lewis 33, Stein 19
Battle 118: Stein (9S) DEFEATED Lewis (3D) : Lewis 32, Stein 20
Battle 119: Lewis (QC) DEFEATED Stein (7C) : Lewis 33, Stein 19
Battle 120: Stein (JS) DEFEATED Lewis (6S) : Lewis 32, Stein 20
Battle 121: Lewis (AS) DEFEATED Stein (4C) : Lewis 33, Stein 19
Battle 122: Stein (AH) DEFEATED Lewis (7S) : Lewis 32, Stein 20
Battle 123: Lewis (9C) DEFEATED Stein (5D) : Lewis 33, Stein 19
Battle 124: Stein (8S) DEFEATED Lewis (6C) : Lewis 32, Stein 20
Battle 125: Lewis (KC) DEFEATED Stein (6D) : Lewis 33, Stein 19
Battle 126: Stein (QH) DEFEATED Lewis (7D) : Lewis 32, Stein 20
Battle 127: Lewis (JC) DEFEATED Stein (4D) : Lewis 33, Stein 19
Battle 128: Stein (TD) DEFEATED Lewis (2S) : Lewis 32, Stein 20
Battle 129: Lewis (TC) DEFEATED Stein (7H) : Lewis 33, Stein 19
Battle 130: Stein (9H) DEFEATED Lewis (8H) : Lewis 32, Stein 20
Battle 131: Lewis (9D) DEFEATED Stein (4H) : Lewis 33, Stein 19
Battle 132: Stein (KD) DEFEATED Lewis (4S) : Lewis 32, Stein 20
Battle 133: Lewis (TH) DEFEATED Stein (5C) : Lewis 33, Stein 19
Battle 134: Stein (JD) DEFEATED Lewis (TS) : Lewis 32, Stein 20
Battle 135: Stein (3C) DEFEATED Lewis (2H) : Lewis 31, Stein 21
Battle 136: Stein (8C) TIED Lewis (8D) : Lewis 26, Stein 26
Battle 137: Lewis (KS) DEFEATED Stein (7S) : Lewis 27, Stein 25
Battle 138: Stein (AH) DEFEATED Lewis (6H) : Lewis 26, Stein 26
Battle 139: Lewis (KH) DEFEATED Stein (6C) : Lewis 27, Stein 25
Battle 140: Stein (8S) DEFEATED Lewis (3S) : Lewis 26, Stein 26
Battle 141: Lewis (JH) DEFEATED Stein (7D) : Lewis 27, Stein 25
Battle 142: Stein (QH) DEFEATED Lewis (5S) : Lewis 26, Stein 26
Battle 143: Lewis (AD) DEFEATED Stein (2S) : Lewis 27, Stein 25
Battle 144: Stein (TD) DEFEATED Lewis (2C) : Lewis 26, Stein 26
Battle 145: Lewis (QD) DEFEATED Stein (8H) : Lewis 27, Stein 25
Battle 146: Stein (9H) DEFEATED Lewis (3H) : Lewis 26, Stein 26
Battle 147: Lewis (QC) DEFEATED Stein (4S) : Lewis 27, Stein 25
Battle 148: Stein (KD) DEFEATED Lewis (7C) : Lewis 26, Stein 26
Battle 149: Lewis (AS) DEFEATED Stein (TS) : Lewis 27, Stein 25
Battle 150: Stein (JD) DEFEATED Lewis (4C) : Lewis 26, Stein 26
Battle 151: Lewis (9C) DEFEATED Stein (2H) : Lewis 27, Stein 25
Battle 152: Lewis (5D) DEFEATED Stein (3C) : Lewis 28, Stein 24
Battle 153: Lewis (KC) DEFEATED Stein (8D) : Lewis 29, Stein 23
Battle 154: Stein (8C) DEFEATED Lewis (6D) : Lewis 28, Stein 24
Battle 155: Lewis (JC) DEFEATED Stein (2D) : Lewis 29, Stein 23
Battle 156: Stein (AC) DEFEATED Lewis (4D) : Lewis 28, Stein 24
Battle 157: Stein (QS) DEFEATED Lewis (TC) : Lewis 27, Stein 25
Battle 158: Lewis (7H) DEFEATED Stein (5H) : Lewis 28, Stein 24
Battle 159: Lewis (9D) DEFEATED Stein (3D) : Lewis 29, Stein 23
Battle 160: Stein (9S) DEFEATED Lewis (4H) : Lewis 28, Stein 24
Battle 161: Lewis (TH) DEFEATED Stein (6S) : Lewis 29, Stein 23
Battle 162: Stein (JS) DEFEATED Lewis (5C) : Lewis 28, Stein 24
Battle 163: Lewis (KS) DEFEATED Stein (6H) : Lewis 29, Stein 23
Battle 164: Stein (AH) DEFEATED Lewis (7S) : Lewis 28, Stein 24
Battle 165: Lewis (KH) DEFEATED Stein (3S) : Lewis 29, Stein 23
Battle 166: Stein (8S) DEFEATED Lewis (6C) : Lewis 28, Stein 24
Battle 167: Lewis (JH) DEFEATED Stein (5S) : Lewis 29, Stein 23
Battle 168: Stein (QH) DEFEATED Lewis (7D) : Lewis 28, Stein 24
Battle 169: Lewis (AD) DEFEATED Stein (2C) : Lewis 29, Stein 23
Battle 170: Stein (TD) DEFEATED Lewis (2S) : Lewis 28, Stein 24
Battle 171: Lewis (QD) DEFEATED Stein (3H) : Lewis 29, Stein 23
Battle 172: Stein (9H) DEFEATED Lewis (8H) : Lewis 28, Stein 24
Battle 173: Lewis (QC) DEFEATED Stein (7C) : Lewis 29, Stein 23
Battle 174: Stein (KD) DEFEATED Lewis (4S) : Lewis 28, Stein 24
Battle 175: Lewis (AS) DEFEATED Stein (4C) : Lewis 29, Stein 23
Battle 176: Stein (JD) DEFEATED Lewis (TS) : Lewis 28, Stein 24
Battle 177: Lewis (9C) DEFEATED Stein (6D) : Lewis 29, Stein 23
Battle 178: Stein (8C) DEFEATED Lewis (2H) : Lewis 28, Stein 24
Battle 179: Lewis (5D) DEFEATED Stein (4D) : Lewis 29, Stein 23
Battle 180: Stein (AC) DEFEATED Lewis (3C) : Lewis 28, Stein 24
Battle 181: Lewis (KC) DEFEATED Stein (TC) : Lewis 29, Stein 23
Battle 182: Stein (QS) DEFEATED Lewis (8D) : Lewis 28, Stein 24
Battle 183: Lewis (JC) DEFEATED Stein (4H) : Lewis 29, Stein 23
Battle 184: Stein (9S) DEFEATED Lewis (2D) : Lewis 28, Stein 24
Battle 185: Lewis (7H) DEFEATED Stein (5C) : Lewis 29, Stein 23
Battle 186: Stein (JS) DEFEATED Lewis (5H) : Lewis 28, Stein 24
Battle 187: Lewis (9D) DEFEATED Stein (7S) : Lewis 29, Stein 23
Battle 188: Stein (AH) DEFEATED Lewis (3D) : Lewis 28, Stein 24
Battle 189: Lewis (TH) DEFEATED Stein (6C) : Lewis 29, Stein 23
Battle 190: Stein (8S) DEFEATED Lewis (6S) : Lewis 28, Stein 24
Battle 191: Lewis (KS) DEFEATED Stein (7D) : Lewis 29, Stein 23
Battle 192: Stein (QH) DEFEATED Lewis (6H) : Lewis 28, Stein 24
Battle 193: Lewis (KH) DEFEATED Stein (2S) : Lewis 29, Stein 23
Battle 194: Stein (TD) DEFEATED Lewis (3S) : Lewis 28, Stein 24
Battle 195: Lewis (JH) DEFEATED Stein (8H) : Lewis 29, Stein 23
Battle 196: Stein (9H) DEFEATED Lewis (5S) : Lewis 28, Stein 24
Battle 197: Lewis (AD) DEFEATED Stein (4S) : Lewis 29, Stein 23
Battle 198: Stein (KD) DEFEATED Lewis (2C) : Lewis 28, Stein 24
Battle 199: Lewis (QD) DEFEATED Stein (TS) : Lewis 29, Stein 23
Battle 200: Stein (JD) DEFEATED Lewis (3H) : Lewis 28, Stein 24
Battle 201: Lewis (QC) DEFEATED Stein (2H) : Lewis 29, Stein 23
Battle 202: Stein (8C) DEFEATED Lewis (7C) : Lewis 28, Stein 24
Battle 203: Lewis (AS) DEFEATED Stein (3C) : Lewis 29, Stein 23
Battle 204: Stein (AC) DEFEATED Lewis (4C) : Lewis 28, Stein 24
Battle 205: Lewis (9C) DEFEATED Stein (8D) : Lewis 29, Stein 23
Battle 206: Stein (QS) DEFEATED Lewis (6D) : Lewis 28, Stein 24
Battle 207: Lewis (5D) DEFEATED Stein (2D) : Lewis 29, Stein 23
Battle 208: Stein (9S) DEFEATED Lewis (4D) : Lewis 28, Stein 24
Battle 209: Lewis (KC) DEFEATED Stein (5H) : Lewis 29, Stein 23
Battle 210: Stein (JS) DEFEATED Lewis (TC) : Lewis 28, Stein 24
Battle 211: Lewis (JC) DEFEATED Stein (3D) : Lewis 29, Stein 23
Battle 212: Stein (AH) DEFEATED Lewis (4H) : Lewis 28, Stein 24
Battle 213: Lewis (7H) DEFEATED Stein (6S) : Lewis 29, Stein 23
Battle 214: Stein (8S) DEFEATED Lewis (5C) : Lewis 28, Stein 24
Battle 215: Lewis (9D) DEFEATED Stein (6H) : Lewis 29, Stein 23
Battle 216: Stein (QH) DEFEATED Lewis (7S) : Lewis 28, Stein 24
Battle 217: Lewis (TH) DEFEATED Stein (3S) : Lewis 29, Stein 23
Battle 218: Stein (TD) DEFEATED Lewis (6C) : Lewis 28, Stein 24
Battle 219: Lewis (KS) DEFEATED Stein (5S) : Lewis 29, Stein 23
Battle 220: Stein (9H) DEFEATED Lewis (7D) : Lewis 28, Stein 24
Battle 221: Lewis (KH) DEFEATED Stein (2C) : Lewis 29, Stein 23
Battle 222: Stein (KD) DEFEATED Lewis (2S) : Lewis 28, Stein 24
Battle 223: Lewis (JH) DEFEATED Stein (3H) : Lewis 29, Stein 23
Battle 224: Stein (JD) DEFEATED Lewis (8H) : Lewis 28, Stein 24
Battle 225: Lewis (AD) DEFEATED Stein (7C) : Lewis 29, Stein 23
Battle 226: Stein (8C) DEFEATED Lewis (4S) : Lewis 28, Stein 24
Battle 227: Lewis (QD) DEFEATED Stein (4C) : Lewis 29, Stein 23
Battle 228: Stein (AC) DEFEATED Lewis (TS) : Lewis 28, Stein 24
Battle 229: Lewis (QC) DEFEATED Stein (6D) : Lewis 29, Stein 23
Battle 230: Stein (QS) DEFEATED Lewis (2H) : Lewis 28, Stein 24
Battle 231: Lewis (AS) DEFEATED Stein (4D) : Lewis 29, Stein 23
Battle 232: Stein (9S) DEFEATED Lewis (3C) : Lewis 28, Stein 24
Battle 233: Stein (TC) DEFEATED Lewis (9C) : Lewis 27, Stein 25
Battle 234: Stein (JS) DEFEATED Lewis (8D) : Lewis 26, Stein 26
Battle 235: Lewis (5D) DEFEATED Stein (4H) : Lewis 27, Stein 25
Battle 236: Stein (AH) DEFEATED Lewis (2D) : Lewis 26, Stein 26
Battle 237: Lewis (KC) DEFEATED Stein (5C) : Lewis 27, Stein 25
Battle 238: Stein (8S) DEFEATED Lewis (5H) : Lewis 26, Stein 26
Battle 239: Lewis (JC) DEFEATED Stein (7S) : Lewis 27, Stein 25
Battle 240: Stein (QH) DEFEATED Lewis (3D) : Lewis 26, Stein 26
Battle 241: Lewis (7H) DEFEATED Stein (6C) : Lewis 27, Stein 25
Battle 242: Stein (TD) DEFEATED Lewis (6S) : Lewis 26, Stein 26
Battle 243: Lewis (9D) DEFEATED Stein (7D) : Lewis 27, Stein 25
Battle 244: Stein (9H) DEFEATED Lewis (6H) : Lewis 26, Stein 26
Battle 245: Lewis (TH) DEFEATED Stein (2S) : Lewis 27, Stein 25
Battle 246: Stein (KD) DEFEATED Lewis (3S) : Lewis 26, Stein 26
Battle 247: Lewis (KS) DEFEATED Stein (8H) : Lewis 27, Stein 25
Battle 248: Stein (JD) DEFEATED Lewis (5S) : Lewis 26, Stein 26
Battle 249: Lewis (KH) DEFEATED Stein (4S) : Lewis 27, Stein 25
Battle 250: Stein (8C) DEFEATED Lewis (2C) : Lewis 26, Stein 26
Battle 251: Lewis (JH) DEFEATED Stein (TS) : Lewis 27, Stein 25
Battle 252: Stein (AC) DEFEATED Lewis (3H) : Lewis 26, Stein 26
Battle 253: Lewis (AD) DEFEATED Stein (2H) : Lewis 27, Stein 25
Battle 254: Stein (QS) DEFEATED Lewis (7C) : Lewis 26, Stein 26
Battle 255: Lewis (QD) DEFEATED Stein (3C) : Lewis 27, Stein 25
Battle 256: Stein (9S) DEFEATED Lewis (4C) : Lewis 26, Stein 26
Battle 257: Lewis (QC) DEFEATED Stein (9C) : Lewis 27, Stein 25
Battle 258: Stein (TC) DEFEATED Lewis (6D) : Lewis 26, Stein 26
Battle 259: Lewis (AS) DEFEATED Stein (8D) : Lewis 27, Stein 25
Battle 260: Stein (JS) DEFEATED Lewis (4D) : Lewis 26, Stein 26
Battle 261: Lewis (5D) DEFEATED Stein (2D) : Lewis 27, Stein 25
Battle 262: Stein (AH) DEFEATED Lewis (4H) : Lewis 26, Stein 26
Battle 263: Lewis (KC) DEFEATED Stein (5H) : Lewis 27, Stein 25
Battle 264: Stein (8S) DEFEATED Lewis (5C) : Lewis 26, Stein 26
Battle 265: Lewis (JC) DEFEATED Stein (3D) : Lewis 27, Stein 25
Battle 266: Stein (QH) DEFEATED Lewis (7S) : Lewis 26, Stein 26
Battle 267: Lewis (7H) DEFEATED Stein (6S) : Lewis 27, Stein 25
Battle 268: Stein (TD) DEFEATED Lewis (6C) : Lewis 26, Stein 26
Battle 269: Lewis (9D) DEFEATED Stein (6H) : Lewis 27, Stein 25
Battle 270: Stein (9H) DEFEATED Lewis (7D) : Lewis 26, Stein 26
Battle 271: Lewis (TH) DEFEATED Stein (3S) : Lewis 27, Stein 25
Battle 272: Stein (KD) DEFEATED Lewis (2S) : Lewis 26, Stein 26
Battle 273: Lewis (KS) DEFEATED Stein (5S) : Lewis 27, Stein 25
Battle 274: Stein (JD) DEFEATED Lewis (8H) : Lewis 26, Stein 26
Battle 275: Lewis (KH) DEFEATED Stein (2C) : Lewis 27, Stein 25
Battle 276: Stein (8C) DEFEATED Lewis (4S) : Lewis 26, Stein 26
Battle 277: Lewis (JH) DEFEATED Stein (3H) : Lewis 27, Stein 25
Battle 278: Stein (AC) DEFEATED Lewis (TS) : Lewis 26, Stein 26
Battle 279: Lewis (AD) DEFEATED Stein (7C) : Lewis 27, Stein 25
Battle 280: Stein (QS) DEFEATED Lewis (2H) : Lewis 26, Stein 26
Battle 281: Lewis (QD) DEFEATED Stein (4C) : Lewis 27, Stein 25
Battle 282: Stein (9S) DEFEATED Lewis (3C) : Lewis 26, Stein 26
Battle 283: Lewis (QC) DEFEATED Stein (6D) : Lewis 27, Stein 25
Battle 284: Stein (TC) DEFEATED Lewis (9C) : Lewis 26, Stein 26
Battle 285: Lewis (AS) DEFEATED Stein (4D) : Lewis 27, Stein 25
Battle 286: Stein (JS) DEFEATED Lewis (8D) : Lewis 26, Stein 26
Battle 287: Lewis (5D) DEFEATED Stein (4H) : Lewis 27, Stein 25
Battle 288: Stein (AH) DEFEATED Lewis (2D) : Lewis 26, Stein 26
Battle 289: Lewis (KC) DEFEATED Stein (5C) : Lewis 27, Stein 25
Battle 290: Stein (8S) DEFEATED Lewis (5H) : Lewis 26, Stein 26
Battle 291: Lewis (JC) DEFEATED Stein (7S) : Lewis 27, Stein 25
Battle 292: Stein (QH) DEFEATED Lewis (3D) : Lewis 26, Stein 26
Battle 293: Lewis (7H) DEFEATED Stein (6C) : Lewis 27, Stein 25
Battle 294: Stein (TD) DEFEATED Lewis (6S) : Lewis 26, Stein 26
Battle 295: Lewis (9D) DEFEATED Stein (7D) : Lewis 27, Stein 25
Battle 296: Stein (9H) DEFEATED Lewis (6H) : Lewis 26, Stein 26
Battle 297: Lewis (TH) DEFEATED Stein (2S) : Lewis 27, Stein 25
Battle 298: Stein (KD) DEFEATED Lewis (3S) : Lewis 26, Stein 26
Battle 299: Lewis (KS) DEFEATED Stein (8H) : Lewis 27, Stein 25
Battle 300: Stein (JD) DEFEATED Lewis (5S) : Lewis 26, Stein 26
Battle 301: Lewis (KH) DEFEATED Stein (4S) : Lewis 27, Stein 25
Battle 302: Stein (8C) DEFEATED Lewis (2C) : Lewis 26, Stein 26
Battle 303: Lewis (JH) DEFEATED Stein (TS) : Lewis 27, Stein 25
Battle 304: Stein (AC) DEFEATED Lewis (3H) : Lewis 26, Stein 26
Battle 305: Lewis (AD) DEFEATED Stein (2H) : Lewis 27, Stein 25
Battle 306: Stein (QS) DEFEATED Lewis (7C) : Lewis 26, Stein 26
Battle 307: Lewis (QD) DEFEATED Stein (3C) : Lewis 27, Stein 25
Battle 308: Stein (9S) DEFEATED Lewis (4C) : Lewis 26, Stein 26
Battle 309: Lewis (QC) DEFEATED Stein (9C) : Lewis 27, Stein 25
Battle 310: Stein (TC) DEFEATED Lewis (6D) : Lewis 26, Stein 26
Battle 311: Lewis (AS) DEFEATED Stein (8D) : Lewis 27, Stein 25
Battle 312: Stein (JS) DEFEATED Lewis (4D) : Lewis 26, Stein 26
Battle 313: Lewis (5D) DEFEATED Stein (2D) : Lewis 27, Stein 25
Battle 314: Stein (AH) DEFEATED Lewis (4H) : Lewis 26, Stein 26
Battle 315: Lewis (KC) DEFEATED Stein (5H) : Lewis 27, Stein 25
Battle 316: Stein (8S) DEFEATED Lewis (5C) : Lewis 26, Stein 26
Battle 317: Lewis (JC) DEFEATED Stein (3D) : Lewis 27, Stein 25
Battle 318: Stein (QH) DEFEATED Lewis (7S) : Lewis 26, Stein 26
Battle 319: Lewis (7H) DEFEATED Stein (6S) : Lewis 27, Stein 25
Battle 320: Stein (TD) DEFEATED Lewis (6C) : Lewis 26, Stein 26
Battle 321: Lewis (9D) DEFEATED Stein (6H) : Lewis 27, Stein 25
Battle 322: Stein (9H) DEFEATED Lewis (7D) : Lewis 26, Stein 26
Battle 323: Lewis (TH) DEFEATED Stein (3S) : Lewis 27, Stein 25
Battle 324: Stein (KD) DEFEATED Lewis (2S) : Lewis 26, Stein 26
Battle 325: Lewis (KS) DEFEATED Stein (5S) : Lewis 27, Stein 25
Battle 326: Stein (JD) DEFEATED Lewis (8H) : Lewis 26, Stein 26
Battle 327: Lewis (KH) DEFEATED Stein (2C) : Lewis 27, Stein 25
Battle 328: Stein (8C) DEFEATED Lewis (4S) : Lewis 26, Stein 26
Battle 329: Lewis (JH) DEFEATED Stein (3H) : Lewis 27, Stein 25
Battle 330: Stein (AC) DEFEATED Lewis (TS) : Lewis 26, Stein 26
Battle 331: Lewis (AD) DEFEATED Stein (7C) : Lewis 27, Stein 25
Battle 332: Stein (QS) DEFEATED Lewis (2H) : Lewis 26, Stein 26
Battle 333: Lewis (QD) DEFEATED Stein (4C) : Lewis 27, Stein 25
Battle 334: Stein (9S) DEFEATED Lewis (3C) : Lewis 26, Stein 26
Battle 335: Lewis (QC) DEFEATED Stein (6D) : Lewis 27, Stein 25
Battle 336: Stein (TC) DEFEATED Lewis (9C) : Lewis 26, Stein 26
Battle 337: Lewis (AS) DEFEATED Stein (4D) : Lewis 27, Stein 25
Battle 338: Stein (JS) DEFEATED Lewis (8D) : Lewis 26, Stein 26
Battle 339: Lewis (5D) DEFEATED Stein (4H) : Lewis 27, Stein 25
